id,title,detail,created_at,updated_at,urgency_level,project_status,parent_ids,child_ids,prerequisite_ids,blocked_by_ids,deadline_value,path
30,项目前置条件（阻塞）,对于每个项目，增加一个前置项目（id列表）属性，默认为空，如果一个项目的任何前置项目处于未完成的状态，则该项目处于阻塞状态（维护显示一个待完成的前置项目id列表），当该项目的所有前置项目都完成时，则将该项目状态切换为待开始；新增一个创建前置项目的action按钮，可以快捷填入前置项目id（其他内容还是需要填写）,2026-04-07 18:00:21,2026-04-07 18:00:21,0,0,4,,,,,4/30
31,项目状态可视化,颜色区分,2026-04-07 18:10:51,2026-04-07 18:10:51,0,0,4,,,,,4/31
32,部分短期不会开始的项目,部分短期不会开始的项目需要单独处理,2026-04-07 18:29:34,2026-04-07 18:29:34,0,0,4,,,,,4/32
33,全自动烫豆机清洗,需要断电冷却后清理一下，用湿巾纸擦一下看看,2026-04-07 18:32:10,2026-04-07 19:37:57,0,0,44,,,,,44/33
34,考虑2楼卫生间存放部分桌游或者3d打印机,,2026-04-07 18:33:07,2026-04-07 20:07:04,0,0,45,,,,,45/34
35,项目图形化界面,对于过滤出来的条目，支持切换为图形化显示（标题为一个方框）用箭头连接上级下级关系；,2026-04-07 18:34:23,2026-04-07 18:48:42,0,0,4,,,,,4/35
36,任务图层,选定部分任务到当前图层，可以切换不同的图层,2026-04-07 18:35:51,2026-04-07 18:35:51,0,0,4,,,,,4/36
37,过滤器支持只显示根项目,,2026-04-07 18:38:11,2026-04-07 19:12:14,0,2,4,,,,,4/37
38,拼豆重量检测联网传感器,,2026-04-07 18:43:53,2026-04-07 19:38:04,0,0,44,,,,,44/38
39,4月魔玩申请以及购买考察,,2026-04-07 19:06:07,2026-04-07 20:06:54,4,0,47,,,,2026-04-17,47/39
40,4月魔玩活动反馈,,2026-04-07 19:06:30,2026-04-07 20:06:34,4,4,,,39,39,2026-04-26,40
41,sop执行项目,,2026-04-07 19:11:48,2026-04-07 19:11:48,0,0,4,,,,,4/41
42,活动日历脚本优化,支持远程调用桌游数据库相关信息,2026-04-07 19:15:45,2026-04-07 19:58:37,0,0,47,,,,,47/42
43,快捷移动项目,对于一个项目，可以快速移动到指定路径，新增移动按钮，点击后可以像文件夹路径那样快速选择路径，是否有这样的控件，或者有其他的方案？,2026-04-07 19:24:30,2026-04-07 19:24:30,0,0,4,,,,,4/43
44,拼豆项目,,2026-04-07 19:37:35,2026-04-07 19:37:35,0,0,,25;26;33;38,,,,44
45,桌游店环境提升,,2026-04-07 19:57:10,2026-04-07 19:57:10,0,0,,23;27;28;34,,,,45
46,桌游整车项目,,2026-04-07 19:57:28,2026-04-07 19:57:28,0,0,,,,,,46
47,桌游拼车项目,,2026-04-07 19:57:38,2026-04-07 19:57:38,0,0,,39;42,,,,47
48,个人项目,,2026-04-07 19:58:04,2026-04-07 19:58:04,0,0,,13;24,,,,48
